iter	Passed	Remaining
416	8299	3642
417	8309	3618
418	8316	3592
419	8332	3571
420	8349	3550
421	8368	3529
422	8382	3507
423	8395	3484
424	8406	3461
425	8418	3438
426	8435	3417
427	8450	3395
428	8463	3373
429	8481	3353
430	8495	3331
431	85423	8488432	8522	3287
433	8536	3265
434	8553	3244
435	8564	3221
436	8581	3200
437	8595	3179
438	8609	3157
439	8633	3139
440	8644	3116
441	8665	3097
442	8686	3078
443	8700	3057
444	8711	3034
445	8730	3014
446	87438	8724447	87439	8737448	87440	8749449	87441	8768450	87442	8785	3113
443	8799	3091
444	8807453	88445	8823	3046
446	8837	3025
447	8856	3004
448	8866	2981
449	8874	2958
450	8895	2938
451	8909	2917
452	8917	2893
453	8932	2872
454	8946	2850
455	8958	2829
456	8976	2808
457	8986	2786
458	8999	2764
459	9014	2743
460	9029	2722
461	9040	2700
462	9058	2680
463	9082	2662
464	9094	2640
465	9105	2618
466	9115	2595
467	9125	2573
468	9138	2552
469	9152	2531
470	9162	2509
471	9168	2486
472	9179	2464
473	9188	2442
474	9201	2421
475	9209	2399
476	9220	2377
477	9230	2355
478	9239	2333
479	9249	2312
480	9259	2290
481	9268	2269
482	9279	2247
483	9290	2226
484	9301	2205
485	9310	2183
486	9318	2162
487	9326	2140
488	9335	2119
489	9343	2097
490	9352	2076
491	9363	2055
492	9371	2033
493	9380	2012
494	9392	1992
495	9402	1971
496	9410	1950
497	9417	1928
498	9425	1907
499	9434	1886
500	9445	1866
501	9452	1845
502	9461	1824
503	9469	1803
504	9482	1783
505	9491	1763
506	9503	1743
507	9514	1723
508	9528	1703
509	9539	1683
510	9550	1663
511	9560	1643
512	9569	1622
513	9578	1602
514	9587	1582
515	9594	1561
516	9602	1541
517	9609	1521
518	9619	1501
519	9628	1481
520	9636	1461
521	9643	1441
522	9653	1421
523	9663	1401
524	9674	1382
525	9682	1362
526	9692	1342
527	9704	1323
528	9712	1303
529	9722	1284
530	9734	1264
531	9743	1245
532	9752	1225
533	9759	1206
534	9767	1186
535	9774	1167
536	9782	1147
537	9792	1128
538	9798	1108
539	9809	1089
540	9820	1071
541	9827	1051
542	9835	1032
543	9845	1013
544	9854	994
545	9862	975
546	9870	956
547	9880	937
548	9887	918
549	9897	899
550	9905	880
551	9916	862
552	9925	843
553	9933	824
554	9941	806
555	9948	787
556	9957	768
557	9967	750
558	9978	731
559	9990	713
560	9996	694
561	10004	676
562	10012	658
563	10024	639
564	10030	621
565	10037	602
566	10045	584
567	10053	566
568	10060	548
569	10066	529
570	10073	511
571	10079	493
572	10085	475
573	10093	457
574	10102	439
575	10110	421
576	10116	403
577	10121	385
578	10126	367
579	10131	349
580	10136	331
581	10140	313
582	10145	295
583	10150	278
584	10154	260
585	10159	242
586	10163	225
587	10167	207
588	10170	189
589	10173	172
590	10176	154
591	10179	137
592	10182	120
593	10185	102
594	10188	85
595	10192	68
596	10195	51
597	10198	34
598	10200	17
599	10203	0
