iter	MultiClass
138	0.5305583458
139	0.5289561266
140	0.5279354985141	0.5210289435
1142	0.52575753061143	0.52490042181144	0.5237599047
145	0.52276494571146	0.521211089
147	0.5198422512
148	0.5185378818
149	0.5175142296
150	0.510539736
1151	0.51563256315152	0.51427463215153	0.51328262115154	0.5125070294
155	0.5113662222
156	0.5102485299
157	0.5093041718
158	0.5084600671
159	0.5076448506
160	0.5068649945
161	0.5058766723
162	0.50496366163163	0.5041320808
164	0.50298059165165	0.5020591
166	0.5006947726
167	0.4994882378
168	0.4987048864
169	0.49777682417170	0.49690891171	0.4900000366
172	0.4888525936
173	0.4881738263
174	0.4872147138
175	0.4863698625
17176	0.4916895371
177	0.49061153
178	0.4898285228
179	0.48851007
180	0.4877593032
181	0.4868554896
182	0.4861363356
183	0.4849239846
184	0.4839687489
185	0.4830871449
186	0.482251485
187	0.4813377184
188	0.4803343514
189	0.4793289288
190	0.4785334543
191	0.4776723161
192	0.4766132554
193	0.4757863688
194	0.4749072274
195	0.4743665431
196	0.4737444425
197	0.4727636983
198	0.4720087937
199	0.4709402241
200	0.4699227736
201	0.4689906013
202	0.4684147646
203	0.4676846768
204	0.4671946555
205	0.4662973794
206	0.4653669106
207	0.464843721
208	0.4638793584
209	0.4630020189
210	0.4622087868
211	0.4612927943
212	0.4602530293
213	0.459213	0.4586931497
214	0.4578271537
215	0.4568887328
216	0.4562588411
217	0.4554661422
218	0.219	0.4551347643
220	0.454525977
221	0.4534223579
222	0.4522394824
223	0.4514013135
224	0.4506326683
225	0.449882525
226	0.4490829045
227	0.4485505787
228	0.4479891804
229	0.4473295672
230	0.446650402
231	0.4458709133
232	0.4451039988
233	0.4443966119
234	0.4436313007
235	0.4428127533
236	0.4422299383
237	0.4415049018
238	0.4408299003
239	0.4403493777
240	0.4395285682
241	0.4388821037
242	0.4383063725
243	0.4376115468
244	0.4363992528
245	0.4356963209
246	0.4246	0.429675342
247	0.42884248	0.248	0.42823249	0.4329107627
250	0.250	0.4270107067
251	0.42650252	0.252	0.4257683481
253	0.4254238568
254	0.4247754316
255	0.4242578915
256	0.4237724622
257	0.4232536948
258	0.4225667975
259	0.4219930864
260	0.4212488464
261	0.4205683135
262	0.41971263	0.263	0.41897264	0.4226201454
265	0.265	0.41791266	0266	0.417266267	0267	0.41661268	0.268	0.41583269	0.4190029888
270	0270	0.414602271	0271	0.414035618
272	0.41362273	0.273	0.41307274	0274	0.412239275	0275	0.4117211209
276	0.411188963
277	0.4104944353
278	0.4099260628
279	0.4093642239
280	0.4084894174
281	0.4079600052
282	0.4076108899
283	0.4072803757
284	0.4068493628
285	0.4061952738
286	0.4055655458
287	0.4049288	0.4082836793
289	0.4077194817
290	0.4072431578
291	0.291	0.40270292	0.292	0.4022770072
293	0.4018373426
294	0.4012878703
295	0.4007201607
296	0.3998752359
297	0.3989099703
298	0.3984315832
299	0.3979801194
300	0.39749239
301	0.3970189253
302	0.3964998142
303	0.3960312879
304	0.3955003774
305	0.3949117249
306	0.3943476325
307	0.3939378461
308	0.3934599286
309	0.3931401341
310	0.3925850755
311	0.3919255068
312	0.3916008609
313	0.391274242
314	0.3906122213
315	0.3902233395
316	0.3899590362
317	0.389426416
318	0.3888007736
319	0.3883143017
320	0.3877509241
321	0.387370216
322	0.3868948393
323	0.3864355545
324	0.3858004571
325	0.385229505
326	0.3845144347
327	0.3838102426
328	0.3833362938
329	0.3829315042
330	0.3826672019
331	0.3822079329
332	0.3818540932
333	0.3813089742
334	0.3806449869
335	0.3801015078
336	0.3797858659
337	0.3792555502
338	0.3789352928
339	0.378338741
340	0.377921165
341	0.3774751804
342	0.3770091636
343	0.3766871707
344	0.3762461788
345	0.3758482752
346	0.3752777718
347	0.3747827933
348	0.3741387203
349	0.3736836639
350	0.3732293413
351	0.3727729706
352	0.3720867775
353	0.3716851924
354	0.3711916196
355	0.3704618921
356	0.3699234112
357	0.3694956871
358	0.3690576735
359	0.3685009153
360	0.3681015092
361	0.3678085686
362	0.3675558943
363	0.3670890844
364	0.3667824933
365	0.3664319682
366	0.3660059329
367	0.3655361272
368	0.3652337651
369	0.3647956516
370	0.3645128071
371	0.3639482346
372	0.3635288254
373	0.3630883749
374	0.3626360083
375	0.3622966614
376	0.3619512244
377	0.3614906802
378	0.3611365552
379	0.3605915351
380	0.3603169449
381	0.3597443509
382	0.3594495534
383	0.359030529
384	0.3587570555
385	0.3583082331
386	0.3578953952
387	0.3573517003
388	0.3570258012
389	0.3566293056
390	0.3562201181
391	0.3559057924
392	0.3554530134
393	0.3552037174
394	0.3548872205
395	0.3545627784
396	0.3543338657
397	0.3540489876
398	0.3535892516
399	0.3530362085
400	0.3527368257
401	0.3523255211
402	0.3518372097
403	0.3515567981
404	0.3511104809
405	0.3506342592
406	0.3501343992
407	0.3497578686
408	0.3493177458
409	0.3490595359
410	0.3486329761
411	0.3482056028
412	0.3478645909
413	0.3477038387
414	0.3473157749
415	0.3468431229
416	0.3464652036
417	0.3462224684
418	0.3459673699
419	0.345693293
420	0.3451221768
421	0.3449141876
422	0.3444745561
423	0.3442140928
424	0.3439701577
425	0.3436278497
426	0.3432639062
427	0.3430151855
428	0.3428107261
429	0.3426009735
430	0.3422935661
431	0.3419713831
432	0.3415167338
433	0.3410983287
434	0.3406359875
435	0.3403819124
436	0.3400429636
437	0.3397844015
438	0.3394482522
439	0.3391901269
440	0.3389359959
441	0.3386380496
442	0.3383447444
443	0.3379169323
444	0.3375853717
445	0.3374775555
446	0.337222653
447	0.3368979232
448	0.3367201576
449	0.336561078
450	0.3363727716
451	0.3359680642
452	0.3356200021
453	0.335281757
454	0.3350185758
455	0.3347315693
456	0.3344833392
457	0.3343178073
458	0.3340495236
459	0.3338838211
460	0.3336947629
461	0.3334955647
462	0.33308216
463	0.3326628685
464	0.33235113
465	0.3320906261
466	0.3317409972
467	0.331506369
468	0.331038967
469	0.3306265474
470	0.3303786063
471	0.3300590563
472	0.3297138115
473	0.3294007203
474	0.3291109873
475	0.3288081699
476	0.3284264898
477	0.3282963763
478	0.3280601179
479	0.3277295683
480	0.3273527414
481	0.327097805
482	0.3268364089
483	0.3264180757
484	0.3262395966
485	0.3260753046
486	0.3257827721
487	0.3255002807
488	0.3252986703
489	0.3250005613
490	0.3246632268
491	0.3243435975
492	0.3241590129
493	0.3235915914
494	0.3232970264
495	0.3230720055
496	0.3228544029
497	0.3226555884
498	0.322471904
499	0.3221646603
500	0.3218646449
501	0.3215148808
502	0.3212458544
503	0.3210183646
504	0.3206810697
505	0.3204512539
506	0.3200906644
507	0.3199396004
508	0.3195888413
509	0.3193637574
510	0.3190940282
511	0.3189275825
512	0.3185933481
513	0.3182525423
514	0.3179734936
515	0.3177230218
516	0.3173621123
517	0.3171489834
518	0.3169866388
519	0.316717229
520	0.3162834225
521	0.3160940404
522	0.3157589935
523	0.3154730016
524	0.3151927481
525	0.3148648064
526	0.3146630608
527	0.314435338
528	0.3142901394
529	0.3141482824
530	0.3139667957
531	0.3137264711
532	0.3134643387
533	0.3133050107
534	0.3131082319
535	0.3127628467
536	0.3125622182
537	0.3121222948
538	0.3119061526
539	0.3117157276
540	0.3114592609
541	0.3111966389
542	0.3109398306
543	0.3106814296
544	0.310374444
545	0.3101095835
546	0.3098264481
547	0.3095692107
548	0.3093581775
549	0.3092413676
550	0.3089750951
551	0.3087218451
552	0.3084636314
553	0.308157178
554	0.307907111
555	0.3076740785
556	0.3074208944
557	0.3073181118
558	0.3069645809
559	0.3067601451
560	0.3064381194
561	0.306204242
562	0.3059126408
563	0.3056352477
564	0.3054115616
565	0.3052371971
566	0.3048707133
567	0.3044837232
568	0.3043434658
569	0.304008346
570	0.3035493945
571	0.3033483534
572	0.3031623832
573	0.3029523409
574	0.3027815767
575	0.302602935
576	0.3023177659
577	0.3021939797
578	0.3019023194
579	0.301744006
580	0.3015618867
581	0.3013874399
582	0.3012518059
583	0.300984534
584	0.3006869076
585	0.3004637765
586	0.299985216
587	0.2997913663
588	0.2995901515
589	0.2993671415
590	0.2989551197
591	0.2987514463
592	0.2984720242
593	0.2983436059
594	0.2980483883
595	0.2977648976
596	0.2974700649
597	0.2972774729
598	0.2971238343
599	0.2969017997
72
607
